"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"Item_1_FUR","Office Chair","5.0"
"Item_2_FUR","Sofa","6.5"
"Item_3_FUR","Coffee Table","8.0"
"Item_4_FUR","Dining Table","9.5"
"Item_5_FUR","Bookshelf","11.0"
"Item_6_FUR","Bed Frame","12.5"
"Item_7_FUR","Wardrobe","14.0"
"Item_8_FUR","Study Table","15.5"
"Item_9_FUR","Recliner","17.0"
"Item_10_FUR","Side Table","18.5"
"Item_11_FUR","TV Stand","20.0"
"Item_12_FUR","Dressing Table","21.5"
"Item_13_FUR","Chest of Drawers","23.0"
"Item_14_FUR","Ottoman","24.5"
"Item_15_FUR","Rocking Chair","26.0"
"Item_16_FUR","Shoe Rack","27.5"
"Item_17_FUR","Nightstand","29.0"
"Item_18_FUR","Patio Chair","30.5"
"Item_19_FUR","Folding Table","32.0"
"Item_20_FUR","Bean Bag","33.5"
"Item_21_FUR","Wooden Bench","35.0"
"Item_22_FUR","Corner Shelf","36.5"
"Item_23_FUR","Magazine Rack","38.0"
"Item_24_FUR","Bar Stool","39.5"
"Item_25_FUR","Accent Chair","41.0"